Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
11346,94.550000,-0.125986,-0.189306,0.121838,0.966150,0.355461,0.258154,0.187183,0.371271,0.248657,0.140359,0.343990,0.256758,0.194682,0.351121,0.269048,0.226507,-0.179205,-0.183996,0.064348,0.964308,0.173910,0.168198,0.108052,0.152803,0.173255,0.088659,0.200683,0.155466,0.086761,0.168243,0.175873,0.148737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371340,0.248704,0.140438,0.343765,0.256661,0.194601,0.351362,0.269130,0.226524,0.152833,0.173236,0.088599,0.200609,0.155489,0.086734,0.168250,0.175880,0.148811
11347,94.558000,-0.123829,-0.191016,0.104136,0.968161,0.352564,0.259762,0.184875,0.368360,0.250288,0.138042,0.341003,0.258663,0.192285,0.348328,0.270334,0.224298,-0.182013,-0.178700,0.046630,0.965797,0.170918,0.169389,0.104868,0.149937,0.175249,0.085565,0.197112,0.155689,0.083457,0.165706,0.177227,0.145582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368412,0.250392,0.138343,0.340733,0.258534,0.192107,0.348609,0.270402,0.224258,0.149796,0.175291,0.085448,0.197218,0.155667,0.083609,0.165771,0.177204,0.145606
11348,94.567000,-0.123790,-0.192606,0.112244,0.966944,0.349752,0.261669,0.182333,0.365774,0.252316,0.135552,0.338200,0.260403,0.189729,0.345283,0.272288,0.221718,-0.180522,-0.179343,0.051358,0.965717,0.168038,0.171609,0.101722,0.146988,0.177285,0.082439,0.194353,0.158195,0.080279,0.162772,0.179346,0.142449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365773,0.252326,0.135584,0.338161,0.260358,0.189627,0.345345,0.272343,0.221829,0.146653,0.177388,0.082227,0.194663,0.158127,0.080668,0.162903,0.179294,0.142452
11349,94.575000,-0.121973,-0.192802,0.112384,0.967119,0.346611,0.263526,0.179846,0.362636,0.254355,0.133030,0.335061,0.262223,0.187239,0.342137,0.274001,0.219269,-0.178187,-0.182821,0.056889,0.965189,0.165127,0.173360,0.098574,0.144097,0.178818,0.079207,0.191712,0.160344,0.077218,0.159574,0.180918,0.139296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362694,0.254358,0.132982,0.334957,0.262187,0.187223,0.342247,0.274065,0.219373,0.143955,0.178845,0.079002,0.191833,0.160303,0.077258,0.159630,0.180916,0.139446
11350,94.583000,-0.123030,-0.191319,0.111288,0.967407,0.343574,0.265565,0.177057,0.359455,0.256258,0.130220,0.332038,0.264310,0.184481,0.339228,0.276127,0.216471,-0.181667,-0.184434,0.057035,0.964224,0.161884,0.175329,0.095384,0.140929,0.180659,0.075900,0.188546,0.162158,0.074221,0.156178,0.183171,0.136031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359480,0.256295,0.130318,0.331892,0.264230,0.184363,0.339411,0.276194,0.216510,0.140946,0.180656,0.075927,0.188516,0.162166,0.074203,0.156168,0.183171,0.136009
11351,94.592000,-0.123024,-0.191453,0.122365,0.966042,0.340274,0.267680,0.174142,0.356265,0.258507,0.127315,0.328782,0.266208,0.181595,0.335774,0.278324,0.213517,-0.185179,-0.187470,0.057346,0.962951,0.158501,0.177001,0.092086,0.137672,0.182182,0.072427,0.185309,0.163697,0.071192,0.152521,0.185124,0.132639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356220,0.258509,0.127368,0.328841,0.266193,0.181490,0.335749,0.278343,0.213600,0.137633,0.182181,0.072316,0.185301,0.163705,0.071232,0.152562,0.185118,0.132707
11352,94.600000,-0.122762,-0.192363,0.114452,0.966864,0.336801,0.269712,0.171324,0.352809,0.260482,0.124514,0.325264,0.268385,0.178732,0.332331,0.280268,0.210725,-0.185171,-0.187833,0.063573,0.962491,0.154819,0.178802,0.088911,0.133901,0.183681,0.069269,0.181757,0.165775,0.068011,0.148799,0.186951,0.129452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352829,0.260493,0.124532,0.325208,0.268363,0.178717,0.332399,0.280289,0.210725,0.133803,0.183677,0.068994,0.181784,0.165766,0.068022,0.148861,0.186961,0.129675
11353,94.608000,-0.124347,-0.191770,0.116863,0.966491,0.333370,0.271725,0.167894,0.349357,0.262362,0.121103,0.321847,0.270384,0.175322,0.328906,0.282430,0.207256,-0.186453,-0.189086,0.059025,0.962288,0.151363,0.180684,0.085329,0.130573,0.185732,0.065594,0.178276,0.167406,0.064555,0.145238,0.188913,0.125839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349271,0.262410,0.121345,0.321861,0.270337,0.175160,0.328976,0.282456,0.207264,0.130526,0.185720,0.065394,0.178253,0.167421,0.064592,0.145288,0.188916,0.125989
11354,94.617000,-0.125683,-0.190343,0.116428,0.966653,0.329706,0.273727,0.164457,0.345565,0.264210,0.117654,0.318199,0.272426,0.171917,0.325355,0.284546,0.203801,-0.185441,-0.192719,0.054259,0.962043,0.147670,0.182559,0.081946,0.127092,0.187841,0.062051,0.174665,0.169166,0.061353,0.141252,0.190669,0.122434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345607,0.264255,0.117758,0.318024,0.272342,0.171823,0.325604,0.284627,0.203809,0.127005,0.187869,0.062013,0.174854,0.169076,0.061232,0.141227,0.190691,0.122525
11355,94.625000,-0.129397,-0.192574,0.119999,0.965283,0.325982,0.275663,0.161029,0.342126,0.265856,0.114384,0.314447,0.274350,0.168445,0.321373,0.286782,0.200260,-0.187153,-0.193747,0.055204,0.961451,0.143920,0.184257,0.078227,0.123374,0.189431,0.058270,0.170979,0.170831,0.057739,0.137406,0.192510,0.118671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342085,0.265865,0.114451,0.314468,0.274283,0.168215,0.321406,0.286871,0.200502,0.123046,0.189530,0.058065,0.171271,0.170737,0.057877,0.137461,0.192496,0.118722
11356,94.633000,-0.130329,-0.194787,0.111452,0.965739,0.322256,0.277512,0.157326,0.338542,0.267540,0.110765,0.310652,0.276374,0.164663,0.317572,0.288624,0.196549,-0.188323,-0.194642,0.059533,0.960783,0.140182,0.185883,0.074655,0.119605,0.190805,0.054667,0.167362,0.172598,0.054235,0.133580,0.194246,0.115062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338647,0.267559,0.110727,0.310425,0.276296,0.164631,0.317850,0.288747,0.196679,0.119540,0.190835,0.054708,0.167760,0.172409,0.053952,0.133535,0.194269,0.115099
11357,94.642000,-0.133713,-0.196185,0.112596,0.964860,0.318400,0.279338,0.153774,0.334864,0.269068,0.107341,0.306773,0.278233,0.161079,0.313563,0.290713,0.192904,-0.190563,-0.197269,0.056951,0.959962,0.136546,0.187438,0.070844,0.116124,0.192392,0.050705,0.163796,0.173956,0.050648,0.129717,0.195966,0.111179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334809,0.269109,0.107514,0.306744,0.278123,0.160776,0.313668,0.290787,0.193030,0.116007,0.192384,0.050345,0.163770,0.173987,0.050792,0.129797,0.195958,0.111334
11358,94.650000,-0.136049,-0.196013,0.113319,0.964484,0.314440,0.280974,0.150010,0.330916,0.270484,0.103630,0.302812,0.279899,0.157318,0.309591,0.292539,0.189082,-0.190927,-0.197072,0.065209,0.959405,0.132817,0.189307,0.066949,0.112255,0.193854,0.046857,0.160210,0.176170,0.046719,0.125985,0.197897,0.107270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331037,0.270483,0.103519,0.302599,0.279830,0.157306,0.309791,0.292661,0.189269,0.112272,0.193835,0.046766,0.160255,0.176120,0.046501,0.125944,0.197944,0.107482
11359,94.658000,-0.138383,-0.196809,0.112885,0.964040,0.310543,0.282674,0.146336,0.327113,0.271962,0.100040,0.298896,0.281647,0.153620,0.305619,0.294413,0.185346,-0.195391,-0.199626,0.060948,0.958257,0.129127,0.191036,0.063080,0.108758,0.195623,0.042801,0.156554,0.177517,0.043151,0.122068,0.199968,0.103287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327057,0.272009,0.100228,0.298849,0.281515,0.153272,0.305713,0.294480,0.185464,0.108876,0.195548,0.042610,0.156145,0.177686,0.043239,0.122114,0.199967,0.103393
11360,94.667000,-0.139935,-0.198303,0.114127,0.963364,0.306522,0.284291,0.142715,0.323264,0.273465,0.096508,0.294855,0.283261,0.149966,0.301448,0.296148,0.181671,-0.197921,-0.198340,0.056864,0.958256,0.125127,0.192711,0.059072,0.104790,0.197420,0.038789,0.152416,0.178870,0.039174,0.118175,0.201845,0.099253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323282,0.273482,0.096542,0.294752,0.283176,0.149811,0.301545,0.296225,0.181808,0.104691,0.197446,0.038712,0.152606,0.178792,0.039155,0.118184,0.201852,0.099318
11361,94.675000,-0.141162,-0.199321,0.112394,0.963178,0.302504,0.285801,0.138969,0.319337,0.274847,0.092825,0.290814,0.284823,0.146189,0.297362,0.297734,0.177893,-0.200002,-0.200291,0.059812,0.957238,0.121215,0.194803,0.055024,0.100917,0.199286,0.034651,0.148646,0.181011,0.035288,0.114081,0.204110,0.095133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319270,0.274893,0.093017,0.290811,0.284759,0.146007,0.297448,0.297779,0.177949,0.101004,0.199242,0.034584,0.148419,0.181114,0.035380,0.114119,0.204098,0.095143
11362,94.683000,-0.143631,-0.200651,0.111317,0.962662,0.298334,0.287351,0.135445,0.315305,0.276161,0.089408,0.286615,0.286433,0.142627,0.293082,0.299460,0.174299,-0.200292,-0.201570,0.053978,0.957256,0.117086,0.196491,0.050882,0.096936,0.201232,0.030421,0.144462,0.182442,0.031251,0.109860,0.205798,0.090975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315284,0.276222,0.089598,0.286511,0.286332,0.142427,0.293224,0.299519,0.174349,0.096897,0.201244,0.030398,0.144624,0.182356,0.031115,0.109837,0.205817,0.091039
11363,94.692000,-0.143525,-0.202525,0.108815,0.962571,0.294214,0.288874,0.131880,0.311338,0.277686,0.085900,0.282460,0.287994,0.139010,0.288845,0.300943,0.170731,-0.203422,-0.202890,0.053671,0.956334,0.112964,0.198534,0.046719,0.092889,0.203175,0.026161,0.140388,0.184333,0.027265,0.105615,0.208094,0.086729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311380,0.277673,0.085830,0.282402,0.287961,0.138963,0.288883,0.301008,0.170886,0.092884,0.203156,0.026034,0.140363,0.184342,0.027258,0.105637,0.208106,0.086854
11364,94.700000,-0.143644,-0.203999,0.104647,0.962704,0.289927,0.290265,0.128297,0.307149,0.279028,0.082365,0.278138,0.289462,0.135378,0.284495,0.302305,0.167149,-0.201214,-0.204535,0.048189,0.956743,0.108851,0.200325,0.042554,0.088921,0.205285,0.021930,0.136244,0.186010,0.023141,0.101387,0.209680,0.082592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307071,0.279046,0.082479,0.278227,0.289383,0.135079,0.284498,0.302376,0.167351,0.088950,0.205264,0.021875,0.136273,0.185968,0.022943,0.101342,0.209723,0.082748
11365,94.708000,-0.144708,-0.203487,0.108893,0.962182,0.285435,0.291859,0.124661,0.302662,0.280570,0.078744,0.273665,0.290994,0.131766,0.279977,0.304014,0.163473,-0.202274,-0.206530,0.048687,0.956065,0.104431,0.202380,0.038342,0.084577,0.207265,0.017627,0.131921,0.188059,0.019071,0.096794,0.211817,0.078328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302729,0.280599,0.078772,0.273486,0.290930,0.131730,0.280142,0.304067,0.163489,0.084557,0.207251,0.017485,0.131970,0.188023,0.018967,0.096777,0.211860,0.078553
11366,94.717000,-0.142780,-0.206679,0.105292,0.962191,0.280985,0.293368,0.121047,0.298464,0.282257,0.075181,0.269162,0.292523,0.128067,0.275328,0.305324,0.159892,-0.201463,-0.207179,0.046685,0.956196,0.100144,0.204050,0.033921,0.080346,0.209051,0.013180,0.127625,0.189688,0.014667,0.092462,0.213412,0.073915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298415,0.282257,0.075218,0.269223,0.292482,0.127900,0.275299,0.305395,0.160122,0.080341,0.209027,0.013010,0.127649,0.189656,0.014525,0.092454,0.213457,0.074186
11367,94.725000,-0.142285,-0.206288,0.102964,0.962600,0.276250,0.294925,0.117340,0.293663,0.283825,0.071446,0.264427,0.294119,0.124363,0.270661,0.306830,0.156210,-0.201311,-0.209947,0.046721,0.955622,0.095590,0.206160,0.029513,0.075900,0.211142,0.008665,0.123195,0.191839,0.010406,0.087676,0.215500,0.069468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293599,0.283888,0.071678,0.264401,0.294060,0.124214,0.270746,0.306851,0.156206,0.075878,0.211132,0.008544,0.123297,0.191772,0.010235,0.087624,0.215560,0.069719
11368,94.733000,-0.140631,-0.207363,0.103443,0.962561,0.271546,0.296513,0.113589,0.289054,0.285594,0.067688,0.259713,0.295662,0.120590,0.265871,0.308283,0.152488,-0.200367,-0.210728,0.047160,0.955627,0.091124,0.207839,0.024931,0.071452,0.212825,0.004067,0.118775,0.193593,0.005833,0.083146,0.217099,0.064892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289132,0.285590,0.067614,0.259585,0.295682,0.120752,0.265934,0.308262,0.152374,0.071474,0.212805,0.003999,0.118810,0.193551,0.005648,0.083105,0.217140,0.065054
11369,94.742000,-0.138105,-0.210777,0.091384,0.963405,0.266648,0.297956,0.109918,0.284340,0.287157,0.064060,0.254735,0.297284,0.116803,0.260867,0.309428,0.148891,-0.199095,-0.211647,0.052535,0.955409,0.086374,0.209861,0.020438,0.066638,0.214630,-0.000417,0.114174,0.195929,0.001326,0.078309,0.219025,0.060403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284280,0.287170,0.064150,0.254795,0.297224,0.116564,0.260875,0.309468,0.149016,0.066707,0.214585,-0.000536,0.114155,0.195910,0.001146,0.078247,0.219091,0.060685
11370,94.750000,-0.135947,-0.210368,0.094419,0.963509,0.261566,0.299394,0.106184,0.279235,0.288842,0.060259,0.249673,0.298624,0.113091,0.255791,0.310717,0.145201,-0.197893,-0.212550,0.048215,0.955686,0.081666,0.211795,0.015648,0.062033,0.216800,-0.005248,0.109423,0.197740,-0.003435,0.073541,0.220845,0.055627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279240,0.288865,0.060323,0.249626,0.298613,0.113097,0.255846,0.310708,0.145129,0.062041,0.216767,-0.005456,0.109327,0.197783,-0.003408,0.073574,0.220850,0.055752
11371,94.758000,-0.133749,-0.214198,0.089320,0.963459,0.256494,0.301062,0.102311,0.274465,0.290695,0.056461,0.244538,0.300336,0.109113,0.250480,0.312154,0.141358,-0.195803,-0.213122,0.052425,0.955768,0.076818,0.213761,0.010991,0.057123,0.218634,-0.009878,0.104688,0.200004,-0.008147,0.068644,0.222644,0.050997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274506,0.290721,0.056514,0.244385,0.300307,0.109137,0.250633,0.312155,0.141248,0.057136,0.218573,-0.010274,0.104542,0.200066,-0.008118,0.068696,0.222655,0.051216
11372,94.767000,-0.131735,-0.214917,0.090832,0.963435,0.251245,0.302588,0.098686,0.269285,0.292447,0.052813,0.239287,0.301793,0.105478,0.245162,0.313525,0.137766,-0.191929,-0.214207,0.047175,0.956584,0.071766,0.215752,0.006293,0.052182,0.220993,-0.014592,0.099589,0.201964,-0.012890,0.063526,0.224298,0.046359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269222,0.292503,0.053036,0.239262,0.301743,0.105345,0.245283,0.313538,0.137709,0.052040,0.221005,-0.014944,0.099585,0.201996,-0.012657,0.063622,0.224278,0.046504
11373,94.775000,-0.130521,-0.219193,0.089583,0.962753,0.245773,0.303964,0.095070,0.264203,0.293970,0.049320,0.233756,0.303153,0.101756,0.239360,0.314770,0.134134,-0.188871,-0.215201,0.044369,0.957104,0.066602,0.217703,0.001348,0.047089,0.223170,-0.019545,0.094421,0.203952,-0.017866,0.058295,0.225985,0.041456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264170,0.294000,0.049442,0.233701,0.303063,0.101497,0.239536,0.314851,0.134273,0.046865,0.223217,-0.019918,0.094669,0.203853,-0.017844,0.058340,0.225994,0.041680
11374,94.783000,-0.130897,-0.220201,0.092755,0.962172,0.240521,0.305279,0.091166,0.259079,0.295306,0.045463,0.228500,0.304405,0.097837,0.233983,0.316125,0.130198,-0.192054,-0.216505,0.040241,0.956358,0.061386,0.219754,-0.003315,0.042019,0.225297,-0.024324,0.089173,0.205676,-0.022338,0.052965,0.228289,0.036716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259112,0.295318,0.045476,0.228369,0.304323,0.097684,0.234132,0.316233,0.130417,0.041792,0.225360,-0.024594,0.089557,0.205511,-0.022360,0.052997,0.228307,0.036967
11375,94.792000,-0.130432,-0.222019,0.093276,0.961766,0.235098,0.306448,0.087481,0.253832,0.296549,0.041834,0.223056,0.305547,0.094109,0.228407,0.317248,0.126500,-0.188902,-0.218709,0.040590,0.956470,0.056153,0.221502,-0.008367,0.036850,0.227118,-0.029415,0.084053,0.207619,-0.027370,0.047557,0.229768,0.031683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253806,0.296594,0.041994,0.222988,0.305491,0.093987,0.228519,0.317270,0.126482,0.036728,0.227126,-0.029781,0.084227,0.207535,-0.027467,0.047588,0.229804,0.032102
11376,94.800000,-0.129858,-0.223598,0.092054,0.961596,0.229519,0.307438,0.083776,0.248388,0.297595,0.038172,0.217453,0.306545,0.090362,0.222716,0.318175,0.122793,-0.188563,-0.223793,0.037026,0.955505,0.050703,0.223199,-0.013338,0.031669,0.228952,-0.034593,0.078754,0.209228,-0.032052,0.041687,0.231417,0.026630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248323,0.297621,0.038307,0.217493,0.306534,0.090294,0.222732,0.318162,0.122740,0.031509,0.228985,-0.034913,0.079072,0.209079,-0.032184,0.041697,0.231464,0.027102
11377,94.808000,-0.129101,-0.227967,0.089124,0.960948,0.223924,0.308432,0.079991,0.243177,0.298667,0.034532,0.211794,0.307566,0.086462,0.216800,0.319065,0.118980,-0.191891,-0.225571,0.040922,0.954265,0.045524,0.224790,-0.018523,0.026511,0.230236,-0.039877,0.073719,0.210851,-0.037042,0.036343,0.233284,0.021350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243195,0.298661,0.034500,0.211770,0.307552,0.086432,0.216813,0.319103,0.119095,0.026486,0.230228,-0.040036,0.073787,0.210810,-0.037150,0.036334,0.233312,0.021564
11378,94.817000,-0.130681,-0.229740,0.093107,0.959934,0.218395,0.309383,0.076030,0.237865,0.299546,0.030679,0.206252,0.308455,0.082467,0.211069,0.320147,0.114945,-0.192135,-0.227282,0.037381,0.953955,0.040063,0.226291,-0.023491,0.021186,0.231878,-0.044929,0.068260,0.212199,-0.041891,0.030743,0.234796,0.016347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237819,0.299555,0.030739,0.206314,0.308409,0.082285,0.211066,0.320182,0.115050,0.021043,0.231909,-0.045191,0.068552,0.212062,-0.041999,0.030745,0.234824,0.016602
11379,94.825000,-0.131259,-0.231344,0.092637,0.959515,0.212698,0.309964,0.072136,0.232319,0.300082,0.026860,0.200531,0.309049,0.078531,0.205243,0.320761,0.111017,-0.192766,-0.230136,0.028257,0.953457,0.034767,0.227487,-0.028698,0.016184,0.233448,-0.050292,0.062896,0.212982,-0.046881,0.025222,0.236030,0.011078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232271,0.300122,0.027017,0.200486,0.308955,0.078273,0.205346,0.320809,0.111088,0.016139,0.233441,-0.050544,0.063177,0.212817,-0.047249,0.025208,0.236071,0.011413
11380,94.833000,-0.129099,-0.234819,0.086670,0.959522,0.206965,0.310583,0.068102,0.226848,0.300854,0.022907,0.194740,0.309736,0.074395,0.199307,0.321158,0.107005,-0.189869,-0.232400,0.033501,0.953319,0.029493,0.228976,-0.033993,0.010886,0.234779,-0.055608,0.057837,0.214875,-0.052159,0.019758,0.237274,0.005789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226851,0.300915,0.023098,0.194576,0.309656,0.074260,0.199505,0.321192,0.106969,0.010915,0.234741,-0.055853,0.057798,0.214875,-0.052315,0.019744,0.237323,0.006202
11381,94.842000,-0.129472,-0.239488,0.078177,0.959047,0.201297,0.311175,0.063921,0.221547,0.301320,0.018916,0.188990,0.310490,0.070070,0.193355,0.321714,0.102776,-0.185130,-0.237015,0.028363,0.953282,0.023930,0.230279,-0.039164,0.005584,0.236444,-0.060902,0.052380,0.216224,-0.057198,0.013826,0.238169,0.000610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221535,0.301306,0.018879,0.189045,0.310479,0.069995,0.193296,0.321751,0.102933,0.005539,0.236443,-0.061140,0.052616,0.216094,-0.057501,0.013759,0.238236,0.001037
11382,94.850000,-0.130988,-0.242663,0.084283,0.957524,0.195350,0.311416,0.059907,0.215965,0.301550,0.015071,0.183018,0.310618,0.065993,0.187068,0.322080,0.098657,-0.184171,-0.240261,0.035174,0.952428,0.018720,0.231786,-0.044652,0.000374,0.237648,-0.066473,0.047446,0.218123,-0.062550,0.008341,0.239587,-0.004931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215967,0.301570,0.015130,0.182947,0.310575,0.065909,0.187151,0.322108,0.098683,0.000367,0.237630,-0.066709,0.047456,0.218111,-0.062641,0.008343,0.239615,-0.004590
11383,94.858000,-0.132490,-0.246134,0.079862,0.956811,0.189543,0.311603,0.055705,0.210452,0.301553,0.011046,0.177154,0.310908,0.061687,0.181023,0.322349,0.094381,-0.182257,-0.242082,0.033352,0.952400,0.013230,0.232841,-0.049989,-0.005018,0.238839,-0.071856,0.042002,0.219208,-0.067835,0.002706,0.240477,-0.010275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210405,0.301608,0.011247,0.177075,0.310827,0.061487,0.181171,0.322386,0.094398,-0.005022,0.238819,-0.072133,0.042033,0.219175,-0.068076,0.002701,0.240516,-0.009820
11384,94.867000,-0.131314,-0.251042,0.066702,0.956706,0.183728,0.311892,0.051488,0.204971,0.301773,0.007002,0.171250,0.311430,0.057307,0.174963,0.322472,0.090155,-0.180964,-0.244550,0.025223,0.952267,0.007678,0.234063,-0.055519,-0.010316,0.240457,-0.077485,0.036394,0.220144,-0.073236,-0.003044,0.241589,-0.015837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204922,0.301755,0.006974,0.171400,0.311411,0.057159,0.174838,0.322522,0.090389,-0.010319,0.240443,-0.077697,0.036464,0.220096,-0.073482,-0.003066,0.241629,-0.015401
