Format Version,1.23,Take Name,Apr17_Sand_No_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.15.20.295 PM,Capture Start Frame,7208744,Total Frames in Take,4210,Total Exported Frames,4210,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.035692,0.156554,-0.015739,0.986899,0.347137,-0.032382,0.218471,0.338697,-0.032261,0.229510,0.358869,-0.028941,0.257558,0.343845,-0.035943,0.168345,0.033239,0.147168,0.005569,0.988537,0.122998,-0.073517,0.208287,0.132179,-0.080790,0.248721,0.097868,-0.061333,0.201288,0.138947,-0.078428,0.174852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338818,-0.032261,0.229390,0.358805,-0.028942,0.257610,0.343788,-0.035943,0.168415,0.132301,-0.080845,0.248691,0.097259,-0.061044,0.201203,0.139377,-0.078642,0.175046
7,0.058000,-0.035478,0.156616,-0.015418,0.986902,0.347125,-0.032388,0.218490,0.338687,-0.032278,0.229530,0.358860,-0.028961,0.257578,0.343828,-0.035925,0.168363,0.032960,0.147117,0.005661,0.988554,0.122993,-0.073499,0.208288,0.132171,-0.080749,0.248727,0.097861,-0.061326,0.201280,0.138947,-0.078424,0.174858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338802,-0.032279,0.229394,0.358805,-0.028960,0.257643,0.343776,-0.035924,0.168424,0.132293,-0.080804,0.248698,0.097266,-0.061043,0.201191,0.139369,-0.078634,0.175054
8,0.067000,-0.035299,0.156386,-0.017034,0.986918,0.347119,-0.032415,0.218479,0.338675,-0.032276,0.229514,0.358843,-0.029020,0.257573,0.343840,-0.035949,0.168350,0.033138,0.147126,0.005941,0.988545,0.122989,-0.073490,0.208297,0.132171,-0.080753,0.248732,0.097851,-0.061326,0.201294,0.138945,-0.078392,0.174864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338799,-0.032276,0.229389,0.358779,-0.029020,0.257630,0.343784,-0.035949,0.168415,0.132287,-0.080804,0.248705,0.097277,-0.061055,0.201218,0.139355,-0.078594,0.175038
9,0.075000,-0.035473,0.156441,-0.016833,0.986907,0.347118,-0.032407,0.218473,0.338675,-0.032269,0.229509,0.358845,-0.028996,0.257564,0.343833,-0.035957,0.168345,0.033435,0.147211,0.005565,0.988524,0.122996,-0.073522,0.208285,0.132180,-0.080812,0.248715,0.097866,-0.061334,0.201293,0.138942,-0.078421,0.174847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338801,-0.032270,0.229375,0.358781,-0.028996,0.257626,0.343777,-0.035957,0.168410,0.132300,-0.080865,0.248683,0.097244,-0.061040,0.201220,0.139380,-0.078638,0.175029
10,0.083000,-0.035606,0.156393,-0.014770,0.986943,0.347123,-0.032381,0.218465,0.338680,-0.032282,0.229501,0.358838,-0.028936,0.257557,0.343851,-0.035925,0.168336,0.032807,0.147068,0.005602,0.988566,0.122992,-0.073511,0.208288,0.132165,-0.080748,0.248730,0.097861,-0.061338,0.201274,0.138949,-0.078447,0.174861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338808,-0.032281,0.229381,0.358768,-0.028938,0.257603,0.343788,-0.035924,0.168417,0.132281,-0.080799,0.248699,0.097253,-0.061050,0.201209,0.139378,-0.078658,0.175028
11,0.092000,-0.035493,0.156495,-0.015306,0.986922,0.347136,-0.032391,0.218483,0.338695,-0.032284,0.229521,0.358861,-0.028961,0.257574,0.343852,-0.035929,0.168355,0.032906,0.147114,0.005266,0.988558,0.122989,-0.073518,0.208301,0.132163,-0.080766,0.248741,0.097867,-0.061327,0.201290,0.138939,-0.078462,0.174871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338833,-0.032281,0.229401,0.358789,-0.028963,0.257633,0.343793,-0.035929,0.168411,0.132281,-0.080818,0.248710,0.097266,-0.061042,0.201216,0.139366,-0.078673,0.175051
12,0.100000,-0.035343,0.156512,-0.016845,0.986900,0.347134,-0.032401,0.218479,0.338692,-0.032265,0.229517,0.358867,-0.029000,0.257570,0.343842,-0.035938,0.168351,0.032970,0.147221,0.005588,0.988538,0.122993,-0.073522,0.208294,0.132179,-0.080772,0.248730,0.097861,-0.061345,0.201291,0.138939,-0.078448,0.174859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338806,-0.032265,0.229397,0.358808,-0.029001,0.257621,0.343789,-0.035937,0.168419,0.132300,-0.080826,0.248698,0.097262,-0.061061,0.201211,0.139375,-0.078665,0.175058
13,0.108000,-0.035319,0.156353,-0.016601,0.986930,0.347125,-0.032416,0.218480,0.338680,-0.032286,0.229515,0.358844,-0.029014,0.257575,0.343851,-0.035948,0.168351,0.033165,0.147331,0.005545,0.988516,0.122985,-0.073507,0.208282,0.132179,-0.080774,0.248714,0.097853,-0.061324,0.201290,0.138923,-0.078423,0.174843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338805,-0.032286,0.229377,0.358786,-0.029014,0.257644,0.343797,-0.035948,0.168407,0.132304,-0.080829,0.248679,0.097267,-0.061046,0.201204,0.139368,-0.078646,0.175068
14,0.117000,-0.035239,0.156483,-0.017446,0.986898,0.347122,-0.032408,0.218480,0.338680,-0.032263,0.229516,0.358855,-0.029022,0.257572,0.343831,-0.035940,0.168352,0.033117,0.147277,0.005430,0.988526,0.122987,-0.073499,0.208284,0.132175,-0.080762,0.248718,0.097859,-0.061311,0.201287,0.138927,-0.078422,0.174846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338818,-0.032261,0.229400,0.358783,-0.029023,0.257636,0.343775,-0.035941,0.168396,0.132295,-0.080816,0.248690,0.097269,-0.061031,0.201205,0.139343,-0.078629,0.175030
15,0.125000,-0.035223,0.156565,-0.017154,0.986890,0.347127,-0.032395,0.218475,0.338687,-0.032255,0.229513,0.358865,-0.029007,0.257565,0.343829,-0.035922,0.168347,0.033283,0.147413,0.005274,0.988501,0.122984,-0.073509,0.208297,0.132181,-0.080787,0.248727,0.097858,-0.061311,0.201312,0.138913,-0.078429,0.174854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338811,-0.032255,0.229386,0.358801,-0.029008,0.257621,0.343772,-0.035921,0.168415,0.132304,-0.080842,0.248693,0.097271,-0.061032,0.201227,0.139349,-0.078647,0.175066
16,0.133000,-0.035659,0.156435,-0.016626,0.986904,0.347140,-0.032378,0.218470,0.338697,-0.032241,0.229506,0.358866,-0.028949,0.257560,0.343857,-0.035944,0.168343,0.032981,0.147444,0.005630,0.988504,0.122977,-0.073513,0.208284,0.132181,-0.080764,0.248717,0.097841,-0.061338,0.201293,0.138908,-0.078436,0.174843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338828,-0.032240,0.229377,0.358799,-0.028950,0.257621,0.343799,-0.035944,0.168406,0.132302,-0.080817,0.248684,0.097255,-0.061060,0.201212,0.139338,-0.078650,0.175043
17,0.142000,-0.035280,0.156391,-0.016610,0.986925,0.347134,-0.032402,0.218472,0.338690,-0.032273,0.229508,0.358857,-0.029004,0.257566,0.343856,-0.035931,0.168343,0.032831,0.147236,0.005651,0.988540,0.123007,-0.073514,0.208274,0.132194,-0.080753,0.248713,0.097872,-0.061343,0.201269,0.138953,-0.078447,0.174841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338824,-0.032272,0.229377,0.358786,-0.029005,0.257623,0.343794,-0.035930,0.168417,0.132312,-0.080806,0.248682,0.097264,-0.061056,0.201197,0.139383,-0.078659,0.175017
18,0.150000,-0.035423,0.156624,-0.016311,0.986888,0.347140,-0.032406,0.218447,0.338701,-0.032280,0.229487,0.358880,-0.028993,0.257535,0.343839,-0.035946,0.168320,0.033185,0.147348,0.005654,0.988512,0.122990,-0.073512,0.208262,0.132187,-0.080780,0.248693,0.097856,-0.061333,0.201271,0.138928,-0.078422,0.174821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338826,-0.032279,0.229363,0.358813,-0.028995,0.257585,0.343778,-0.035945,0.168399,0.132307,-0.080833,0.248660,0.097255,-0.061049,0.201194,0.139365,-0.078639,0.175017
19,0.158000,-0.035188,0.156542,-0.015809,0.986918,0.347125,-0.032393,0.218476,0.338685,-0.032281,0.229515,0.358856,-0.028994,0.257568,0.343834,-0.035905,0.168347,0.033061,0.147407,0.005327,0.988509,0.122943,-0.073524,0.208301,0.132141,-0.080784,0.248733,0.097815,-0.061333,0.201309,0.138874,-0.078456,0.174860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338802,-0.032282,0.229375,0.358797,-0.028994,0.257627,0.343779,-0.035904,0.168423,0.132258,-0.080837,0.248705,0.097247,-0.061063,0.201229,0.139284,-0.078660,0.175044
20,0.167000,-0.035841,0.156360,-0.015717,0.986925,0.347126,-0.032389,0.218476,0.338681,-0.032266,0.229512,0.358842,-0.028935,0.257567,0.343853,-0.035965,0.168350,0.033297,0.147270,0.005593,0.988520,0.122987,-0.073499,0.208288,0.132176,-0.080777,0.248719,0.097855,-0.061315,0.201296,0.138929,-0.078405,0.174849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338821,-0.032265,0.229384,0.358770,-0.028936,0.257631,0.343794,-0.035966,0.168406,0.132297,-0.080831,0.248693,0.097270,-0.061037,0.201206,0.139341,-0.078610,0.175041
21,0.175000,-0.035748,0.156445,-0.015465,0.986918,0.347134,-0.032384,0.218476,0.338692,-0.032269,0.229513,0.358856,-0.028936,0.257565,0.343854,-0.035949,0.168349,0.032778,0.147392,0.005459,0.988520,0.122971,-0.073512,0.208277,0.132169,-0.080748,0.248713,0.097839,-0.061334,0.201278,0.138904,-0.078456,0.174839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338807,-0.032269,0.229375,0.358801,-0.028935,0.257630,0.343802,-0.035948,0.168412,0.132292,-0.080802,0.248672,0.097258,-0.061059,0.201205,0.139367,-0.078687,0.175068
22,0.183000,-0.035470,0.156391,-0.015597,0.986935,0.347137,-0.032366,0.218480,0.338694,-0.032253,0.229517,0.358855,-0.028941,0.257573,0.343863,-0.035904,0.168351,0.032876,0.147610,0.005220,0.988485,0.122978,-0.073508,0.208297,0.132191,-0.080753,0.248729,0.097848,-0.061316,0.201311,0.138894,-0.078455,0.174852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338823,-0.032253,0.229378,0.358790,-0.028942,0.257636,0.343804,-0.035904,0.168422,0.132317,-0.080808,0.248689,0.097257,-0.061035,0.201231,0.139356,-0.078686,0.175083
23,0.192000,-0.035509,0.156581,-0.016431,0.986890,0.347138,-0.032394,0.218464,0.338699,-0.032263,0.229503,0.358875,-0.028975,0.257552,0.343841,-0.035943,0.168337,0.032973,0.147538,0.004840,0.988495,0.122962,-0.073520,0.208284,0.132165,-0.080776,0.248716,0.097843,-0.061308,0.201296,0.138878,-0.078477,0.174840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338833,-0.032262,0.229378,0.358804,-0.028976,0.257608,0.343780,-0.035943,0.168405,0.132289,-0.080831,0.248677,0.097264,-0.061033,0.201217,0.139336,-0.078707,0.175072
24,0.200000,-0.035666,0.156404,-0.015293,0.986930,0.347135,-0.032383,0.218475,0.338692,-0.032273,0.229511,0.358853,-0.028939,0.257566,0.343860,-0.035938,0.168347,0.032835,0.147786,0.004787,0.988463,0.122945,-0.073530,0.208286,0.132168,-0.080775,0.248716,0.097823,-0.061319,0.201308,0.138844,-0.078498,0.174836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338822,-0.032272,0.229377,0.358786,-0.028940,0.257627,0.343800,-0.035938,0.168417,0.132295,-0.080831,0.248675,0.097254,-0.061048,0.201224,0.139308,-0.078732,0.175085
25,0.208000,-0.035270,0.156402,-0.016322,0.986929,0.347111,-0.032394,0.218482,0.338667,-0.032270,0.229517,0.358833,-0.028993,0.257576,0.343833,-0.035918,0.168352,0.033130,0.147364,0.005386,0.988513,0.122991,-0.073524,0.208295,0.132186,-0.080789,0.248727,0.097862,-0.061334,0.201303,0.138925,-0.078449,0.174855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338805,-0.032269,0.229384,0.358761,-0.028994,0.257636,0.343770,-0.035918,0.168422,0.132303,-0.080842,0.248702,0.097248,-0.061043,0.201227,0.139342,-0.078654,0.175018
26,0.217000,-0.035402,0.156416,-0.015401,0.986937,0.347125,-0.032397,0.218488,0.338682,-0.032289,0.229525,0.358844,-0.028976,0.257581,0.343848,-0.035927,0.168358,0.033020,0.147652,0.004964,0.988476,0.122961,-0.073535,0.208288,0.132175,-0.080793,0.248717,0.097838,-0.061328,0.201307,0.138871,-0.078484,0.174840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338811,-0.032289,0.229382,0.358781,-0.028976,0.257649,0.343792,-0.035927,0.168422,0.132298,-0.080848,0.248683,0.097257,-0.061052,0.201221,0.139305,-0.078701,0.175054
27,0.225000,-0.035196,0.156463,-0.017102,0.986908,0.347126,-0.032386,0.218480,0.338684,-0.032247,0.229516,0.358856,-0.028999,0.257573,0.343839,-0.035910,0.168351,0.032637,0.147619,0.004773,0.988494,0.122938,-0.073540,0.208282,0.132147,-0.080768,0.248717,0.097818,-0.061332,0.201289,0.138848,-0.078520,0.174838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338804,-0.032247,0.229392,0.358795,-0.029000,0.257629,0.343785,-0.035910,0.168415,0.132276,-0.080826,0.248684,0.097236,-0.061054,0.201190,0.139288,-0.078742,0.175078
28,0.233000,-0.035325,0.156500,-0.015522,0.986924,0.347132,-0.032386,0.218465,0.338691,-0.032277,0.229503,0.358859,-0.028972,0.257557,0.343847,-0.035909,0.168336,0.032926,0.147423,0.005318,0.988511,0.122961,-0.073524,0.208289,0.132161,-0.080773,0.248723,0.097833,-0.061335,0.201295,0.138891,-0.078464,0.174849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338823,-0.032276,0.229377,0.358789,-0.028974,0.257610,0.343784,-0.035908,0.168412,0.132277,-0.080824,0.248692,0.097253,-0.061061,0.201222,0.139312,-0.078673,0.175032
