Format Version,1.23,Take Name,Apr17_Sand_No_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.48.59.329 PM,Capture Start Frame,7883025,Total Frames in Take,6803,Total Exported Frames,6803,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133000,0.000241,-0.000364,-0.000478,1.000000,0.341338,-0.027032,0.311115,0.338156,-0.026935,0.260823,0.333119,-0.027776,0.321989,0.352739,-0.026385,0.350533,0.000600,-0.000143,-0.000239,1.000000,0.121029,-0.064155,0.292866,0.137310,-0.070164,0.260828,0.129461,-0.071658,0.332942,0.096317,-0.050642,0.284829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338150,-0.026935,0.260814,0.333124,-0.027775,0.321977,0.352740,-0.026385,0.350560,0.137322,-0.070171,0.260837,0.129469,-0.071661,0.332938,0.096301,-0.050633,0.284826
17,0.142000,0.000193,-0.000083,-0.000980,1.000000,0.341342,-0.027055,0.311110,0.338132,-0.026960,0.260820,0.333128,-0.027790,0.321989,0.352766,-0.026416,0.350522,0.000277,-0.000134,-0.000199,1.000000,0.121013,-0.064156,0.292853,0.137294,-0.070185,0.260818,0.129446,-0.071632,0.332934,0.096299,-0.050650,0.284807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338129,-0.026961,0.260827,0.333131,-0.027790,0.321978,0.352764,-0.026416,0.350526,0.137303,-0.070190,0.260821,0.129458,-0.071639,0.332943,0.096280,-0.050639,0.284796
18,0.150000,0.000237,-0.000088,0.000326,1.000000,0.341343,-0.027029,0.311100,0.338133,-0.026937,0.260810,0.333131,-0.027786,0.321979,0.352765,-0.026363,0.350512,0.000092,-0.000180,0.000348,1.000000,0.121020,-0.064143,0.292836,0.137311,-0.070166,0.260805,0.129458,-0.071595,0.332921,0.096292,-0.050667,0.284783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338126,-0.026938,0.260810,0.333143,-0.027784,0.321966,0.352758,-0.026363,0.350528,0.137317,-0.070170,0.260814,0.129467,-0.071600,0.332923,0.096278,-0.050659,0.284775
19,0.158000,0.000344,-0.000494,0.000244,1.000000,0.341327,-0.027042,0.311107,0.338158,-0.026940,0.260814,0.333106,-0.027800,0.321978,0.352718,-0.026387,0.350528,0.000045,-0.000109,-0.000679,1.000000,0.121027,-0.064161,0.292859,0.137300,-0.070221,0.260826,0.129455,-0.071627,0.332943,0.096325,-0.050635,0.284808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338160,-0.026940,0.260830,0.333095,-0.027801,0.321955,0.352730,-0.026386,0.350536,0.137316,-0.070228,0.260816,0.129455,-0.071627,0.332945,0.096313,-0.050629,0.284814
20,0.167000,0.000349,-0.000345,-0.000555,1.000000,0.341334,-0.027043,0.311116,0.338151,-0.026934,0.260824,0.333115,-0.027787,0.321990,0.352737,-0.026406,0.350534,-0.000132,-0.000078,-0.000223,1.000000,0.121009,-0.064152,0.292845,0.137286,-0.070208,0.260814,0.129446,-0.071596,0.332931,0.096295,-0.050652,0.284791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338147,-0.026935,0.260819,0.333118,-0.027787,0.321981,0.352739,-0.026406,0.350551,0.137298,-0.070214,0.260806,0.129450,-0.071599,0.332937,0.096281,-0.050645,0.284790
21,0.175000,0.000348,-0.000422,-0.000350,1.000000,0.341336,-0.027054,0.311093,0.338160,-0.026948,0.260800,0.333116,-0.027803,0.321966,0.352733,-0.026413,0.350513,0.000049,-0.000072,-0.000510,1.000000,0.121031,-0.064163,0.292849,0.137304,-0.070217,0.260815,0.129464,-0.071627,0.332932,0.096324,-0.050646,0.284800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338160,-0.026948,0.260809,0.333115,-0.027803,0.321956,0.352735,-0.026413,0.350515,0.137306,-0.070218,0.260815,0.129474,-0.071632,0.332944,0.096313,-0.050639,0.284788
22,0.183000,0.000146,-0.000256,-0.000286,1.000000,0.341333,-0.027030,0.311093,0.338140,-0.026944,0.260801,0.333116,-0.027775,0.321969,0.352742,-0.026371,0.350508,0.000531,-0.000076,-0.000213,1.000000,0.121019,-0.064161,0.292847,0.137296,-0.070174,0.260807,0.129457,-0.071658,0.332923,0.096305,-0.050651,0.284811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338136,-0.026945,0.260828,0.333132,-0.027774,0.321952,0.352728,-0.026372,0.350497,0.137306,-0.070180,0.260811,0.129472,-0.071667,0.332936,0.096283,-0.050638,0.284795
23,0.192000,0.000359,-0.000183,0.000518,1.000000,0.341322,-0.027053,0.311092,0.338122,-0.026951,0.260801,0.333108,-0.027816,0.321969,0.352737,-0.026392,0.350506,0.000390,-0.000208,0.000015,1.000000,0.121009,-0.064159,0.292842,0.137297,-0.070174,0.260809,0.129439,-0.071640,0.332923,0.096290,-0.050662,0.284796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338123,-0.026951,0.260799,0.333103,-0.027816,0.321966,0.352743,-0.026392,0.350513,0.137298,-0.070174,0.260816,0.129450,-0.071647,0.332931,0.096279,-0.050655,0.284782
24,0.200000,0.000409,-0.000343,-0.000027,1.000000,0.341320,-0.027049,0.311104,0.338136,-0.026939,0.260812,0.333102,-0.027804,0.321978,0.352723,-0.026405,0.350522,-0.000005,-0.000145,0.000137,1.000000,0.121014,-0.064161,0.292847,0.137299,-0.070198,0.260816,0.129451,-0.071610,0.332932,0.096291,-0.050677,0.284793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338133,-0.026939,0.260797,0.333098,-0.027805,0.321971,0.352731,-0.026405,0.350550,0.137301,-0.070198,0.260814,0.129445,-0.071606,0.332924,0.096296,-0.050680,0.284803
25,0.208000,0.000328,-0.000193,-0.000712,1.000000,0.341331,-0.027060,0.311111,0.338132,-0.026953,0.260819,0.333115,-0.027802,0.321987,0.352746,-0.026425,0.350525,0.000009,-0.000097,0.000230,1.000000,0.120995,-0.064159,0.292851,0.137279,-0.070191,0.260818,0.129438,-0.071607,0.332935,0.096269,-0.050679,0.284800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338130,-0.026953,0.260825,0.333114,-0.027802,0.321973,0.352750,-0.026425,0.350536,0.137282,-0.070192,0.260806,0.129446,-0.071612,0.332956,0.096260,-0.050673,0.284788
26,0.217000,0.000238,-0.000169,0.000193,1.000000,0.341323,-0.027044,0.311116,0.338122,-0.026952,0.260825,0.333109,-0.027799,0.321993,0.352739,-0.026381,0.350530,0.000251,-0.000251,0.000145,1.000000,0.121002,-0.064142,0.292844,0.137295,-0.070161,0.260813,0.129431,-0.071610,0.332927,0.096281,-0.050654,0.284792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338120,-0.026952,0.260832,0.333114,-0.027798,0.321986,0.352736,-0.026381,0.350530,0.137299,-0.070163,0.260811,0.129441,-0.071616,0.332941,0.096267,-0.050646,0.284779
