Format Version,1.23,Take Name,July2_Des_T1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.01.23.450 PM,Capture Start Frame,-2147483648,Total Frames in Take,3834,Total Exported Frames,3834,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
18,0.075000,-0.049078,0.013338,-0.064225,0.996639,145.365860,-135.165955,1138.740112,184.420288,-144.977768,1126.182007,138.577271,-120.517494,1162.183105,113.099907,-140.002625,1127.854980,0.994939,0.023586,-0.050702,0.083488,130.147598,-92.614235,935.866638,158.911148,-90.584671,934.110962,113.823326,-92.910461,915.191528,117.708199,-94.347534,958.297607,184.491669,-145.005936,1126.142212,138.418732,-120.564232,1162.091797,113.170181,-139.930222,1127.980347,159.844833,-90.527504,934.274231,111.520905,-93.051872,914.799255,117.540741,-94.357697,958.266235,,,,,,,,,,,,
19,0.079000,-0.048869,0.013461,-0.064199,0.996649,145.369537,-135.194885,1138.753174,184.421539,-144.999893,1126.182251,138.585617,-120.556801,1162.203979,113.101334,-140.027954,1127.873169,0.994925,0.023605,-0.050682,0.083658,130.147324,-92.620773,935.863586,158.910858,-90.590118,934.108459,113.823982,-92.924980,915.187866,117.707062,-94.347198,958.294617,184.500000,-145.029327,1126.140991,138.420853,-120.599701,1162.118408,113.156723,-139.963409,1127.984253,159.852936,-90.532066,934.267212,111.511436,-93.067047,914.787292,117.535172,-94.357872,958.267822,,,,,,,,,,,,
20,0.083000,-0.048719,0.013517,-0.064374,0.996644,145.369568,-135.212677,1138.743164,184.417130,-145.027893,1126.166382,138.592667,-120.579224,1162.198853,113.098831,-140.030899,1127.864136,0.994911,0.023460,-0.050535,0.083957,130.148560,-92.619743,935.853149,158.913132,-90.596794,934.106201,113.831985,-92.932671,915.172241,117.700478,-94.329742,958.281067,184.499252,-145.058014,1126.124268,138.414612,-120.628716,1162.101196,113.158157,-139.961136,1127.984253,159.854187,-90.538849,934.262878,111.515190,-93.074623,914.767822,117.527130,-94.340538,958.255798,,,,,,,,,,,,
21,0.088000,-0.048836,0.013625,-0.064596,0.996623,145.372086,-135.215439,1138.746582,184.412552,-145.051208,1126.163818,138.606705,-120.573616,1162.200439,113.096909,-140.021515,1127.875366,0.994872,0.023565,-0.050941,0.084136,130.111313,-92.641525,935.839905,158.874115,-90.614632,934.068604,113.777779,-92.964737,915.172546,117.681953,-94.345184,958.278687,184.498367,-145.085602,1126.115234,138.419830,-120.612633,1162.119019,113.154381,-139.957626,1127.985718,159.842880,-90.555496,934.248230,111.510773,-93.104744,914.795044,117.520302,-94.354713,958.239929,,,,,,,,,,,,
22,0.092000,-0.048016,0.013554,-0.064395,0.996677,145.365891,-135.215195,1138.763062,184.413101,-145.015045,1126.173218,138.589401,-120.614403,1162.239136,113.095078,-140.016129,1127.876465,0.994865,0.023745,-0.050707,0.084310,130.110687,-92.636459,935.827515,158.873428,-90.598175,934.068298,113.786461,-92.973000,915.152954,117.672073,-94.338173,958.261292,184.489471,-145.049011,1126.124146,138.411804,-120.648659,1162.166504,113.160408,-139.954529,1127.984131,159.834290,-90.538887,934.242310,111.500572,-93.115150,914.768066,117.507584,-94.348099,958.225586,,,,,,,,,,,,
23,0.096000,-0.048386,0.013597,-0.064316,0.996663,145.377625,-135.222198,1138.763794,184.424622,-145.024933,1126.175537,138.602081,-120.605339,1162.230225,113.106033,-140.036331,1127.885376,0.994860,0.023796,-0.050828,0.084289,130.095657,-92.656929,935.827271,158.857788,-90.616302,934.060913,113.766273,-92.993958,915.156860,117.662819,-94.360512,958.264099,184.497696,-145.057983,1126.127686,138.432617,-120.638351,1162.160278,113.171837,-139.975662,1127.991333,159.832352,-90.556160,934.238403,111.477158,-93.136459,914.772949,117.498421,-94.370399,958.227600,,,,,,,,,,,,
24,0.100000,-0.048443,0.013640,-0.064325,0.996659,145.384842,-135.211136,1138.758667,184.430496,-145.016052,1126.167847,138.611771,-120.591599,1162.224121,113.112167,-140.025757,1127.883667,0.994857,0.024044,-0.050720,0.084309,130.106491,-92.662178,935.830994,158.867874,-90.606804,934.069702,113.780869,-93.007790,915.157715,117.670631,-94.371918,958.265747,184.500687,-145.049271,1126.119629,138.442886,-120.625160,1162.153442,113.184349,-139.963120,1127.993408,159.822159,-90.547302,934.240906,111.480682,-93.152168,914.770203,117.505127,-94.382042,958.231079,,,,,,,,,,,,
25,0.104000,-0.048251,0.013613,-0.064379,0.996665,145.390579,-135.210526,1138.762817,184.436203,-145.014984,1126.171631,138.617157,-120.599098,1162.233276,113.118286,-140.017502,1127.883423,0.994838,0.024083,-0.050650,0.084574,130.108566,-92.664871,935.821716,158.869965,-90.607010,934.063354,113.785927,-93.023247,915.146301,117.669708,-94.364319,958.255615,184.504791,-145.046097,1126.126587,138.460678,-120.631393,1162.165771,113.183899,-139.957657,1127.988159,159.825928,-90.547462,934.241455,111.454453,-93.170403,914.762085,117.507431,-94.374046,958.215210,,,,,,,,,,,,
26,0.108000,-0.048034,0.013626,-0.064519,0.996667,145.399750,-135.213791,1138.765137,184.442764,-145.024002,1126.170288,138.630142,-120.610542,1162.241699,113.126251,-140.006821,1127.883057,0.994826,0.024214,-0.050667,0.084663,130.110901,-92.674202,935.824646,158.871658,-90.608978,934.064514,113.787308,-93.040337,915.150085,117.673660,-94.373268,958.259399,184.515045,-145.055588,1126.124878,138.466217,-120.645287,1162.169312,113.190300,-139.945633,1127.989990,159.825272,-90.549187,934.239502,111.454758,-93.188126,914.763306,117.509857,-94.383232,958.221069,,,,,,,,,,,,
27,0.113000,-0.048268,0.013699,-0.064338,0.996666,145.408951,-135.227737,1138.762695,184.453064,-145.029556,1126.164795,138.638611,-120.616325,1162.234009,113.135071,-140.037323,1127.889038,0.994783,0.024085,-0.050709,0.085180,130.101669,-92.674347,935.820679,158.862778,-90.616943,934.057190,113.777122,-93.058853,915.147217,117.665009,-94.347206,958.257812,184.524963,-145.062180,1126.117554,138.472214,-120.649048,1162.164917,113.200928,-139.976944,1127.994629,159.826675,-90.556526,934.233765,111.446129,-93.206474,914.760254,117.500732,-94.357201,958.219604,,,,,,,,,,,,
