Format Version,1.23,Take Name,Apr17_Sand_Des_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.49.28.492 PM,Capture Start Frame,7454527,Total Frames in Take,4140,Total Exported Frames,4140,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133000,-0.012893,-0.027749,-0.007227,0.999506,0.231920,-0.050054,0.236656,0.340827,-0.031740,0.199724,0.333745,-0.030066,0.260526,0.129187,-0.072244,0.264351,0.096714,-0.058261,0.213287,0.352630,-0.027329,0.289800,0.138418,-0.080686,0.192250,0.344966,-0.034628,0.199577,0.333729,-0.029811,0.259999,0.127967,-0.078849,0.264346,0.096467,-0.057727,0.214223,0.350368,-0.025937,0.290136,0.138970,-0.076400,0.191796
17,0.142000,-0.012236,-0.027568,-0.007104,0.999520,0.231905,-0.050073,0.236695,0.340794,-0.031680,0.199747,0.333733,-0.030088,0.260554,0.129188,-0.072327,0.264397,0.096693,-0.058286,0.213363,0.352628,-0.027383,0.289825,0.138395,-0.080672,0.192282,0.344943,-0.034649,0.199598,0.333732,-0.029817,0.260034,0.127959,-0.078861,0.264340,0.096457,-0.057754,0.214242,0.350353,-0.025962,0.290169,0.138970,-0.076415,0.191786
18,0.150000,-0.011303,-0.027112,-0.007344,0.999542,0.232006,-0.050122,0.236663,0.340870,-0.031707,0.199653,0.333863,-0.030227,0.260469,0.129304,-0.072384,0.264415,0.096769,-0.058233,0.213436,0.352785,-0.027586,0.289728,0.138443,-0.080597,0.192276,0.344944,-0.034638,0.199593,0.333713,-0.029817,0.260002,0.127961,-0.078836,0.264356,0.096435,-0.057753,0.214249,0.350343,-0.025957,0.290161,0.138930,-0.076474,0.191796
19,0.158000,-0.012769,-0.027529,-0.007203,0.999514,0.231887,-0.050076,0.236711,0.340777,-0.031747,0.199735,0.333721,-0.030089,0.260541,0.129167,-0.072278,0.264445,0.096671,-0.058283,0.213399,0.352619,-0.027357,0.289808,0.138367,-0.080701,0.192338,0.344942,-0.034659,0.199588,0.333724,-0.029820,0.260020,0.127951,-0.078842,0.264364,0.096424,-0.057747,0.214244,0.350354,-0.025953,0.290152,0.138952,-0.076422,0.191792
20,0.167000,-0.012255,-0.027506,-0.007190,0.999521,0.231903,-0.050074,0.236687,0.340790,-0.031701,0.199726,0.333736,-0.030105,0.260534,0.129185,-0.072309,0.264403,0.096686,-0.058265,0.213372,0.352635,-0.027403,0.289803,0.138382,-0.080658,0.192287,0.344932,-0.034670,0.199602,0.333719,-0.029815,0.260020,0.127952,-0.078834,0.264350,0.096410,-0.057768,0.214238,0.350348,-0.025978,0.290185,0.138944,-0.076462,0.191810
21,0.175000,-0.011712,-0.027574,-0.007104,0.999526,0.231891,-0.050035,0.236669,0.340780,-0.031600,0.199743,0.333718,-0.030072,0.260551,0.129174,-0.072322,0.264346,0.096679,-0.058228,0.213326,0.352612,-0.027397,0.289825,0.138383,-0.080591,0.192222,0.344941,-0.034638,0.199606,0.333703,-0.029809,0.260025,0.127958,-0.078851,0.264333,0.096440,-0.057735,0.214255,0.350365,-0.025979,0.290164,0.138943,-0.076444,0.191814
22,0.183000,-0.012306,-0.027445,-0.007224,0.999521,0.231871,-0.050062,0.236710,0.340755,-0.031701,0.199734,0.333709,-0.030099,0.260542,0.129155,-0.072288,0.264440,0.096651,-0.058246,0.213412,0.352612,-0.027395,0.289808,0.138343,-0.080644,0.192324,0.344954,-0.034644,0.199599,0.333703,-0.029824,0.260011,0.127958,-0.078847,0.264344,0.096412,-0.057726,0.214239,0.350330,-0.025986,0.290162,0.138917,-0.076528,0.191789
23,0.192000,-0.012775,-0.027611,-0.007218,0.999511,0.231908,-0.050072,0.236684,0.340805,-0.031746,0.199726,0.333739,-0.030087,0.260531,0.129183,-0.072270,0.264402,0.096696,-0.058276,0.213350,0.352632,-0.027356,0.289800,0.138394,-0.080695,0.192297,0.344947,-0.034649,0.199598,0.333736,-0.029811,0.260008,0.127941,-0.078850,0.264337,0.096430,-0.057752,0.214241,0.350376,-0.025953,0.290145,0.138913,-0.076524,0.191787
24,0.200000,-0.011247,-0.027419,-0.006981,0.999536,0.231882,-0.050044,0.236697,0.340755,-0.031546,0.199754,0.333710,-0.030076,0.260566,0.129179,-0.072384,0.264385,0.096665,-0.058252,0.213388,0.352613,-0.027424,0.289837,0.138368,-0.080584,0.192251,0.344953,-0.034645,0.199603,0.333722,-0.029806,0.260050,0.127950,-0.078880,0.264330,0.096431,-0.057747,0.214236,0.350345,-0.025972,0.290183,0.138936,-0.076473,0.191790
25,0.208000,-0.011769,-0.027417,-0.007139,0.999529,0.231892,-0.050067,0.236706,0.340771,-0.031644,0.199744,0.333727,-0.030109,0.260554,0.129182,-0.072343,0.264418,0.096672,-0.058253,0.213406,0.352631,-0.027433,0.289822,0.138367,-0.080620,0.192292,0.344954,-0.034626,0.199618,0.333715,-0.029825,0.260032,0.127946,-0.078866,0.264335,0.096421,-0.057745,0.214254,0.350318,-0.025973,0.290170,0.138923,-0.076510,0.191794
