,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker1,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker2,SpineRobotRear:Marker3,SpineRobotRear:Marker3,SpineRobotRear:Marker3,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1210,Unlabeled 1210,Unlabeled 1210,Unlabeled 1211,Unlabeled 1211,Unlabeled 1211
,ID,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,D6CD1D4965F811F11571DA7D1A008C9B,"39780537669B11F11571DA7D1A008C9B","39780537669B11F11571DA7D1A008C9B","39780537669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780538669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","39780536669B11F11571DA7D1A008C9B","294E8754A9C65F311F1","294E8754A9C65F311F1","294E8754A9C65F311F1","29DE8754A9C65F311F1","29DE8754A9C65F311F1","29DE8754A9C65F311F1","2A1E8754A9C65F311F1","2A1E8754A9C65F311F1","2A1E8754A9C65F311F1","AE33562ACC3ABB5B40248F284F55D9CE","AE33562ACC3ABB5B40248F284F55D9CE","AE33562ACC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE33562BCC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE","AE335628CC3ABB5B40248F284F55D9CE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133000,0.189197,-0.037231,-0.019843,0.981033,-0.234379,0.100249,0.028191,-0.218348,0.098747,-0.004804,-0.226574,0.086114,0.066603,-0.258217,0.115885,0.022773,-0.218392,0.098823,-0.005003,-0.226689,0.086147,0.066751,-0.258065,0.115779,0.022833,-0.002269,0.143005,0.028585,-0.021939,0.133361,0.065241,-0.045143,0.137204,0.026124,,,,,,,,,
17,0.142000,0.189069,-0.037278,-0.019929,0.981054,-0.234360,0.100238,0.028158,-0.218327,0.098724,-0.004835,-0.226559,0.086111,0.066574,-0.258194,0.115877,0.022736,-0.218344,0.098784,-0.005037,-0.226697,0.086155,0.066735,-0.258073,0.115785,0.022814,-0.002254,0.143008,0.028569,-0.021760,0.133441,0.065486,-0.045138,0.137188,0.026115,,,,,,,,,
18,0.150000,0.188911,-0.037130,-0.019430,0.981100,-0.234369,0.100224,0.028081,-0.218338,0.098715,-0.004914,-0.226549,0.086119,0.066501,-0.258220,0.115837,0.022655,-0.218345,0.098767,-0.005108,-0.226718,0.086184,0.066647,-0.258102,0.115742,0.022753,-0.002275,0.142942,0.028496,-0.021810,0.133418,0.065354,-0.045133,0.137105,0.026087,,,,,,,,,
19,0.158000,0.188273,-0.037195,-0.020296,0.981202,-0.234357,0.100229,0.028065,-0.218337,0.098651,-0.004931,-0.226554,0.086157,0.066501,-0.258182,0.115877,0.022626,-0.218354,0.098709,-0.005125,-0.226714,0.086219,0.066645,-0.258050,0.115775,0.022719,-0.002304,0.142972,0.028476,-0.021896,0.133332,0.065229,-0.045158,0.137132,0.026091,,,,,,,,,
20,0.167000,0.187807,-0.037352,-0.019628,0.981299,-0.234349,0.100274,0.028076,-0.218309,0.098683,-0.004910,-0.226549,0.086251,0.066530,-0.258190,0.115888,0.022608,-0.218350,0.098753,-0.005098,-0.226686,0.086301,0.066660,-0.258030,0.115773,0.022687,-0.002296,0.143061,0.028548,-0.021962,0.133331,0.065183,-0.044995,0.137203,0.026346,,,,,,,,,
21,0.175000,0.187360,-0.037360,-0.019836,0.981380,-0.234335,0.100299,0.028073,-0.218299,0.098672,-0.004913,-0.226538,0.086307,0.066538,-0.258169,0.115919,0.022593,-0.218341,0.098741,-0.005097,-0.226681,0.086363,0.066661,-0.258004,0.115799,0.022677,-0.002296,0.143030,0.028566,-0.021966,0.133373,0.065202,-0.045041,0.137212,0.026349,,,,,,,,,
22,0.183000,0.188315,-0.037581,-0.019329,0.981199,-0.234335,0.100291,0.028048,-0.218274,0.098741,-0.004930,-0.226549,0.086233,0.066492,-0.258180,0.115897,0.022582,-0.218300,0.098805,-0.005127,-0.226718,0.086300,0.066633,-0.258029,0.115783,0.022679,-0.002297,0.142990,0.028489,-0.021931,0.133405,0.065209,-0.045089,0.137149,0.026213,,,,,,,,,
23,0.192000,0.188174,-0.037388,-0.018783,0.981244,-0.234344,0.100265,0.028050,-0.218287,0.098723,-0.004930,-0.226535,0.086229,0.066498,-0.258208,0.115843,0.022583,-0.218304,0.098778,-0.005115,-0.226707,0.086301,0.066620,-0.258072,0.115737,0.022685,-0.002314,0.142991,0.028493,-0.021769,0.133420,0.065442,-0.045106,0.137210,0.026088,,,,,,,,,
24,0.200000,0.188424,-0.037268,-0.018955,0.981197,-0.234365,0.100237,0.028083,-0.218319,0.098708,-0.004903,-0.226550,0.086179,0.066521,-0.258227,0.115825,0.022631,-0.218348,0.098776,-0.005108,-0.226694,0.086227,0.066678,-0.258083,0.115719,0.022712,-0.002310,0.142988,0.028521,-0.021762,0.133381,0.065377,-0.045150,0.137220,0.026052,,,,,,,,,
25,0.208000,0.188151,-0.037366,-0.019248,0.981240,-0.234388,0.100231,0.028117,-0.218340,0.098674,-0.004868,-0.226584,0.086188,0.066562,-0.258239,0.115830,0.022655,-0.218379,0.098744,-0.005057,-0.226702,0.086225,0.066701,-0.258092,0.115726,0.022720,-0.002288,0.143018,0.028548,-0.021843,0.133315,0.065267,-0.045159,0.137212,0.026046,,,,,,,,,
