Format Version,1.23,Take Name,pronk,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-23 06.39.35.709 PM,Capture Start Frame,44738935,Total Frames in Take,7094,Total Exported Frames,7094,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133000,0.131813,-0.043444,-0.018918,0.990141,-0.124467,0.119970,0.024496,-0.108137,0.114583,-0.007942,-0.117090,0.110363,0.064364,-0.148175,0.134963,0.017065,-0.175172,0.007448,-0.135601,0.975127,0.088570,0.143157,0.021236,0.108839,0.138535,0.008022,0.091927,0.146077,0.046791,0.064943,0.144857,0.008894,0.107932,0.138648,0.007910,0.092155,0.146102,0.047221,0.066628,0.144235,0.006003,-0.108155,0.114799,-0.009502,-0.117239,0.110364,0.065024,-0.148018,0.134867,0.017089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.142000,0.131832,-0.043847,-0.018642,0.990126,-0.124485,0.119980,0.024548,-0.108124,0.114601,-0.007875,-0.117138,0.110377,0.064423,-0.148192,0.134963,0.017097,-0.175495,0.007030,-0.136066,0.975007,0.088582,0.143215,0.021228,0.108859,0.138568,0.008036,0.091919,0.146154,0.046783,0.064968,0.144925,0.008864,0.107955,0.138684,0.007942,0.092149,0.146177,0.047201,0.066667,0.144298,0.005984,-0.108147,0.114828,-0.009492,-0.117273,0.110378,0.065015,-0.148040,0.134870,0.017119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.131651,-0.044016,-0.019313,0.990130,-0.124486,0.119956,0.024560,-0.108127,0.114544,-0.007860,-0.117158,0.110355,0.064438,-0.148171,0.134970,0.017100,-0.174511,0.006995,-0.135672,0.975239,0.088574,0.143199,0.021230,0.108858,0.138594,0.008033,0.091903,0.146089,0.046792,0.064961,0.144913,0.008865,0.107953,0.138708,0.007923,0.092131,0.146113,0.047220,0.066646,0.144296,0.005989,-0.108136,0.114760,-0.009460,-0.117286,0.110355,0.065004,-0.148030,0.134883,0.017123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158000,0.131861,-0.043798,-0.019552,0.990107,-0.124485,0.119958,0.024540,-0.108144,0.114554,-0.007890,-0.117142,0.110336,0.064410,-0.148168,0.134985,0.017098,-0.174595,0.007325,-0.135853,0.975196,0.088574,0.143189,0.021226,0.108847,0.138573,0.008018,0.091920,0.146080,0.046786,0.064954,0.144913,0.008875,0.107939,0.138687,0.007905,0.092148,0.146104,0.047216,0.066660,0.144290,0.005982,-0.108150,0.114768,-0.009480,-0.117270,0.110336,0.064986,-0.148029,0.134900,0.017121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.167000,0.132375,-0.043365,-0.018810,0.990072,-0.124473,0.119924,0.024435,-0.108144,0.114579,-0.008010,-0.117089,0.110275,0.064291,-0.148186,0.134920,0.017024,-0.174944,0.007280,-0.134558,0.975313,0.088562,0.143190,0.021232,0.108841,0.138619,0.008016,0.091912,0.146106,0.046788,0.064933,0.144846,0.008890,0.107933,0.138734,0.007929,0.092143,0.146129,0.047202,0.066643,0.144225,0.006011,-0.108157,0.114781,-0.009483,-0.117255,0.110277,0.065014,-0.148023,0.134820,0.017052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.131953,-0.043794,-0.018661,0.990112,-0.124479,0.119963,0.024493,-0.108121,0.114592,-0.007934,-0.117128,0.110350,0.064364,-0.148187,0.134948,0.017048,-0.174945,0.006971,-0.135102,0.975240,0.088581,0.143208,0.021238,0.108866,0.138615,0.008040,0.091914,0.146124,0.046797,0.064963,0.144885,0.008878,0.107959,0.138729,0.007938,0.092144,0.146147,0.047220,0.066675,0.144263,0.005973,-0.108141,0.114812,-0.009513,-0.117270,0.110351,0.064988,-0.148032,0.134854,0.017071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183000,0.132173,-0.043831,-0.018728,0.990080,-0.124471,0.119980,0.024501,-0.108112,0.114621,-0.007927,-0.117125,0.110348,0.064368,-0.148177,0.134972,0.017061,-0.175185,0.006881,-0.134539,0.975276,0.088581,0.143166,0.021224,0.108870,0.138590,0.008026,0.091912,0.146098,0.046781,0.064960,0.144811,0.008865,0.107972,0.138704,0.007938,0.092144,0.146121,0.047197,0.066609,0.144201,0.006011,-0.108136,0.114846,-0.009518,-0.117263,0.110349,0.064974,-0.148022,0.134877,0.017084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.192000,0.131659,-0.043767,-0.019255,0.990141,-0.124474,0.119973,0.024517,-0.108130,0.114564,-0.007910,-0.117126,0.110372,0.064392,-0.148166,0.134983,0.017069,-0.175387,0.007170,-0.136042,0.975029,0.088583,0.143183,0.021243,0.108857,0.138539,0.008044,0.091926,0.146115,0.046798,0.064966,0.144895,0.008885,0.107956,0.138654,0.007949,0.092159,0.146138,0.047220,0.066633,0.144273,0.005977,-0.108147,0.114780,-0.009476,-0.117264,0.110374,0.065001,-0.148016,0.134891,0.017092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.131761,-0.043650,-0.019477,0.990128,-0.124484,0.119956,0.024526,-0.108151,0.114548,-0.007907,-0.117128,0.110343,0.064397,-0.148172,0.134977,0.017088,-0.175020,0.007058,-0.135651,0.975150,0.088575,0.143200,0.021246,0.108856,0.138582,0.008048,0.091911,0.146116,0.046804,0.064959,0.144902,0.008886,0.107952,0.138695,0.007934,0.092142,0.146141,0.047238,0.066619,0.144279,0.005971,-0.108165,0.114764,-0.009479,-0.117263,0.110344,0.064996,-0.148025,0.134887,0.017111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208000,0.132813,-0.043459,-0.019722,0.989992,-0.124466,0.119940,0.024472,-0.108148,0.114596,-0.007979,-0.117099,0.110239,0.064319,-0.148152,0.134985,0.017076,-0.175371,0.006909,-0.135331,0.975132,0.088585,0.143192,0.021244,0.108870,0.138578,0.008051,0.091917,0.146129,0.046801,0.064969,0.144869,0.008881,0.107971,0.138692,0.007958,0.092149,0.146152,0.047221,0.066624,0.144252,0.006001,-0.108152,0.114797,-0.009470,-0.117247,0.110237,0.064992,-0.148006,0.134895,0.017100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.217000,0.131690,-0.043853,-0.019339,0.990132,-0.124465,0.119979,0.024528,-0.108118,0.114569,-0.007897,-0.117125,0.110374,0.064404,-0.148153,0.134993,0.017078,-0.175076,0.007204,-0.135107,0.975214,0.088585,0.143210,0.021238,0.108864,0.138613,0.008031,0.091931,0.146131,0.046795,0.064961,0.144887,0.008889,0.107960,0.138728,0.007942,0.092163,0.146153,0.047211,0.066640,0.144270,0.006007,-0.108153,0.114801,-0.009492,-0.117267,0.110378,0.065011,-0.147989,0.134893,0.017102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,0.132245,-0.043733,-0.018615,0.990077,-0.124487,0.119970,0.024542,-0.108132,0.114620,-0.007889,-0.117132,0.110334,0.064408,-0.148198,0.134957,0.017108,-0.174986,0.007195,-0.136065,0.975097,0.088574,0.143195,0.021226,0.108849,0.138560,0.008025,0.091916,0.146106,0.046784,0.064958,0.144918,0.008868,0.107941,0.138674,0.007911,0.092143,0.146130,0.047214,0.066660,0.144295,0.005979,-0.108133,0.114833,-0.009489,-0.117260,0.110333,0.064990,-0.148062,0.134874,0.017130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233000,0.131760,-0.043277,-0.019228,0.990150,-0.124480,0.119944,0.024481,-0.108166,0.114546,-0.007963,-0.117091,0.110336,0.064347,-0.148182,0.134951,0.017059,-0.174641,0.007232,-0.134624,0.975359,0.088557,0.143158,0.021229,0.108838,0.138592,0.008015,0.091902,0.146058,0.046787,0.064930,0.144824,0.008884,0.107933,0.138704,0.007905,0.092129,0.146083,0.047214,0.066622,0.144208,0.006020,-0.108178,0.114752,-0.009478,-0.117238,0.110337,0.065000,-0.148030,0.134858,0.017083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
